issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
08053,2008-05-10,1,13,21,23,32,3,6,40590404,38674943
08054,2008-05-12,5,14,23,31,35,2,6,35199137,39728478
08055,2008-05-14,2,14,28,30,35,4,12,34734846,47026761
08056,2008-05-17,15,19,25,30,31,3,9,38031764,54542073
08057,2008-05-19,5,8,9,17,33,5,6,33585570,53894837
08058,2008-05-21,3,9,11,29,33,3,12,34170490,60745467
08059,2008-05-24,7,13,21,25,31,8,10,37223008,63908438
08060,2008-05-26,3,13,17,23,30,1,11,34123914,70660934
08061,2008-05-28,7,10,14,19,32,3,6,34088627,76470288
08062,2008-05-31,1,15,27,28,29,3,10,38155924,77951044
08063,2008-06-02,7,11,24,30,35,6,8,33620255,78442432
08064,2008-06-04,14,18,24,27,31,6,7,34764938,84996832
08065,2008-06-07,19,22,23,25,32,6,12,38232402,91976912
08066,2008-06-09,2,7,21,22,25,4,12,33980514,99878464
08067,2008-06-11,3,10,14,15,22,4,7,36123416,107468553
08068,2008-06-14,6,9,11,33,34,6,10,42073413,97468553
08069,2008-06-16,5,13,16,29,33,6,8,36600634,94419559
08070,2008-06-18,9,17,18,21,31,1,5,36677881,95582570
08071,2008-06-21,1,5,11,14,25,1,9,40950429,103904908
08072,2008-06-23,10,25,32,33,34,3,9,36970156,109032214
08073,2008-06-25,2,5,6,7,31,8,10,39140810,111776852
08074,2008-06-28,10,13,22,31,35,4,12,44030350,106776852
08075,2008-06-30,1,10,13,30,33,6,7,38824479,109255214
08076,2008-07-02,3,5,10,27,34,1,12,39587591,104255214
08077,2008-07-05,1,8,21,33,34,5,7,43244940,107674611
08078,2008-07-07,8,17,20,28,31,7,11,39684782,110267094
08079,2008-07-09,20,23,26,32,33,5,12,44591474,113753026
08080,2008-07-12,6,9,29,31,33,5,11,53506763,89753026
08081,2008-07-14,7,8,20,22,29,4,7,44696695,87803100
08082,2008-07-16,15,19,29,33,35,1,2,44234753,97447629
08083,2008-07-19,6,14,15,30,31,3,10,49954076,103354895
08084,2008-07-21,2,17,20,22,25,5,11,49313526,107222896
08085,2008-07-23,3,7,13,15,19,2,10,53391228,102222896
08086,2008-07-26,1,6,10,22,35,3,7,58919410,97222896
08087,2008-07-28,14,22,32,33,35,1,5,51247817,106133263
08088,2008-07-30,7,11,19,27,31,2,3,54514985,73133263
08089,2008-08-02,8,13,24,32,33,3,9,59467723,69407390
08090,2008-08-04,4,11,18,33,34,2,6,52730184,78173788
08091,2008-08-06,9,13,19,22,25,4,10,53330741,83877838
08092,2008-08-09,3,23,26,32,34,4,9,60998837,84049234
08093,2008-08-11,6,7,10,24,30,5,8,50479495,29049234
08094,2008-08-13,7,12,19,27,34,11,12,49427530,32166417
08095,2008-08-16,3,4,11,21,25,1,7,55628578,40652246
08096,2008-08-18,6,7,12,25,28,2,12,50054794,51083547
08097,2008-08-20,1,10,31,33,35,3,10,52553996,3000000
08098,2008-08-23,7,10,22,27,33,4,8,49974858,0
08099,2008-08-25,3,18,23,25,30,6,10,43869995,5865795
08100,2008-08-27,12,20,26,29,30,2,6,47711626,3000000
08101,2008-08-30,10,13,23,31,33,4,11,50054696,4558447
08102,2008-09-01,5,25,26,29,35,3,10,45289971,3000000
08103,2008-09-03,2,11,22,30,34,4,9,44650816,3000000
08104,2008-09-06,7,8,10,24,34,8,11,51349639,3000000
08105,2008-09-08,12,21,22,26,35,4,5,45562019,6446866
08106,2008-09-10,3,5,21,28,33,2,6,47541191,11359693
08107,2008-09-13,1,2,13,15,16,4,9,57802825,21676849
08108,2008-09-15,11,16,24,29,32,9,11,52169608,22086078
08109,2008-09-17,1,10,18,28,34,5,8,50756930,21417903
08110,2008-09-20,5,16,25,27,33,4,9,56718694,20207159
08111,2008-09-22,2,11,12,14,19,5,9,49939290,30602178
08112,2008-09-24,4,18,26,32,33,5,8,50352321,40396244
08113,2008-09-27,11,14,17,19,22,1,8,61348255,54670241
08114,2008-09-29,2,3,22,27,31,6,7,55470213,38314513
08115,2008-10-01,7,9,19,21,33,7,10,46931777,24126512
08116,2008-10-04,6,8,15,24,31,1,3,53664504,27396324
08117,2008-10-06,13,23,24,25,30,2,8,49147100,26979783
08118,2008-10-08,6,9,19,25,30,6,12,51733525,16279924
08119,2008-10-11,1,2,10,19,27,1,11,56241876,27850465
08120,2008-10-13,21,23,24,25,32,3,4,50941532,27556018
08121,2008-10-15,11,23,24,32,35,4,10,50102126,31139136
08122,2008-10-18,3,6,12,20,29,9,12,56605878,34738697
08123,2008-10-20,1,6,12,28,31,8,9,52188936,39766773
08124,2008-10-22,2,10,13,29,33,6,10,52114543,23709355
08125,2008-10-25,1,4,28,33,34,6,11,58300053,35761969
08126,2008-10-27,9,29,32,34,35,1,8,52493901,44463793
08127,2008-10-29,8,21,22,31,33,1,7,55689286,37065728
08128,2008-11-01,12,15,23,24,25,10,11,58998573,48522335
08129,2008-11-03,13,16,20,25,27,4,5,52855672,54305213
08130,2008-11-05,3,5,22,29,34,7,12,54962085,50427744
08131,2008-11-08,8,9,12,21,32,7,11,57720986,56512634
08132,2008-11-10,6,14,24,27,29,5,9,50200160,42671397
08133,2008-11-12,10,12,15,33,35,3,9,53113538,51306918
08134,2008-11-15,11,13,15,28,35,8,10,58653172,51983043
08135,2008-11-17,7,22,25,29,33,1,12,52220703,39363748
08136,2008-11-19,3,28,29,32,34,1,6,50998989,49504459
08137,2008-11-22,1,10,25,32,35,5,9,56767696,52876589
08138,2008-11-24,4,5,18,22,35,7,8,51656800,56409937
08139,2008-11-26,1,6,10,14,22,6,8,51296604,67799049
08140,2008-11-29,2,9,11,29,32,8,9,55500534,65307524
08141,2008-12-01,9,15,18,30,34,4,5,50546850,70292307
08142,2008-12-03,6,18,21,30,35,8,9,50934846,77115916
08143,2008-12-06,1,2,22,29,32,1,4,54106721,86943624
08144,2008-12-08,10,19,27,28,33,5,12,49575223,83882865
08145,2008-12-10,5,16,27,29,30,5,11,51322996,86975858
08146,2008-12-13,9,23,24,26,33,7,12,57492342,82572235
08147,2008-12-15,16,18,19,24,35,11,12,50547246,78883713
08148,2008-12-17,3,7,20,33,35,4,7,50309105,88014808
08149,2008-12-20,2,5,6,27,29,3,4,55352420,98889218
08150,2008-12-22,1,9,10,15,25,3,8,48042807,104578566
08151,2008-12-24,7,10,27,31,34,8,9,53683392,107520511
08152,2008-12-27,3,5,14,20,33,7,11,61367170,97520511
